group_id,n_samples,Falciparum,Malariae,Ovale,Vivax
1305121398,20,20.0,0.0,0.0,0.0
1307210661,10,10.0,0.0,0.0,0.0
1405022890,6,6.0,0.0,0.0,0.0
1408161544,3,3.0,0.0,0.0,0.0
1408290968,3,3.0,0.0,0.0,0.0
1409171742,10,10.0,0.0,0.0,0.0
1409191647,10,10.0,0.0,0.0,0.0
1603223711,6,6.0,0.0,0.0,0.0
1701151546,15,15.0,0.0,0.0,0.0
1704282807,21,21.0,0.0,0.0,0.0
1312132815,15,0.0,15.0,0.0,0.0
1401063467,13,0.0,13.0,0.0,0.0
1401080976,9,0.0,9.0,0.0,0.0
1707180816,19,0.0,0.0,19.0,0.0
1708161076,10,0.0,0.0,10.0,0.0
1703121298,15,0.0,0.0,0.0,15.0
1709041080,25,0.0,0.0,0.0,25.0
