subset,image_name,expected_gt_name,expected_crop_name,img_present,gt_present,crop_present,status
Malariae,1312132815-0001-G.jpg,1312132815-0001-G.jpg,1312132815-0001-G_diag.png,True,True,True,OK
Malariae,1312132815-0002-T.jpg,1312132815-0002-T.jpg,1312132815-0002-T_diag.png,True,True,True,OK
Malariae,1312132815-0003-G.jpg,1312132815-0003-G.jpg,1312132815-0003-G_diag.png,True,True,True,OK
Malariae,1312132815-0004-G.jpg,1312132815-0004-G.jpg,1312132815-0004-G_diag.png,True,True,True,OK
Malariae,1312132815-0005-G.jpg,1312132815-0005-G.jpg,1312132815-0005-G_diag.png,True,True,True,OK
Malariae,1312132815-0008-G.jpg,1312132815-0008-G.jpg,1312132815-0008-G_diag.png,True,True,True,OK
Malariae,1312132815-0009-G.jpg,1312132815-0009-G.jpg,1312132815-0009-G_diag.png,True,True,True,OK
Malariae,1312132815-0010-T.jpg,1312132815-0010-T.jpg,1312132815-0010-T_diag.png,True,True,True,OK
Malariae,1312132815-0011-S.jpg,1312132815-0011-S.jpg,1312132815-0011-S_diag.png,True,True,True,OK
Malariae,1312132815-0012-S.jpg,1312132815-0012-S.jpg,1312132815-0012-S_diag.png,True,True,True,OK
Malariae,1312132815-0013-S.jpg,1312132815-0013-S.jpg,1312132815-0013-S_diag.png,True,True,True,OK
Malariae,1312132815-0014-S.jpg,1312132815-0014-S.jpg,1312132815-0014-S_diag.png,True,True,True,OK
Malariae,1312132815-0015-S.jpg,1312132815-0015-S.jpg,1312132815-0015-S_diag.png,True,True,True,OK
Malariae,1312132815-0016-T.jpg,1312132815-0016-T.jpg,1312132815-0016-T_diag.png,True,True,True,OK
Malariae,1312132815-0017-T.jpg,1312132815-0017-T.jpg,1312132815-0017-T_diag.png,True,True,True,OK
Malariae,1401063467-0001-S.jpg,1401063467-0001-S.jpg,1401063467-0001-S_diag.png,True,True,True,OK
Malariae,1401063467-0002-T.jpg,1401063467-0002-T.jpg,1401063467-0002-T_diag.png,True,True,True,OK
Malariae,1401063467-0003-T.jpg,1401063467-0003-T.jpg,1401063467-0003-T_diag.png,True,True,True,OK
Malariae,1401063467-0004-R_T.jpg,1401063467-0004-R_T.jpg,1401063467-0004-R_T_diag.png,True,True,True,OK
Malariae,1401063467-0005-T.jpg,1401063467-0005-T.jpg,1401063467-0005-T_diag.png,True,True,True,OK
Malariae,1401063467-0006-T.jpg,1401063467-0006-T.jpg,1401063467-0006-T_diag.png,True,True,True,OK
Malariae,1401063467-0007-S.jpg,1401063467-0007-S.jpg,1401063467-0007-S_diag.png,True,True,True,OK
Malariae,1401063467-0008-S.jpg,1401063467-0008-S.jpg,1401063467-0008-S_diag.png,True,True,True,OK
Malariae,1401063467-0009-T.jpg,1401063467-0009-T.jpg,1401063467-0009-T_diag.png,True,True,True,OK
Malariae,1401063467-0010-T.jpg,1401063467-0010-T.jpg,1401063467-0010-T_diag.png,True,True,True,OK
Malariae,1401063467-0011-G.jpg,1401063467-0011-G.jpg,1401063467-0011-G_diag.png,True,True,True,OK
Malariae,1401063467-0012-S.jpg,1401063467-0012-S.jpg,1401063467-0012-S_diag.png,True,True,True,OK
Malariae,1401063467-0013-T.jpg,1401063467-0013-T.jpg,1401063467-0013-T_diag.png,True,True,True,OK
Malariae,1401080976-0001-T.jpg,1401080976-0001-T.jpg,1401080976-0001-T_diag.png,True,True,True,OK
Malariae,1401080976-0002-T.jpg,1401080976-0002-T.jpg,1401080976-0002-T_diag.png,True,True,True,OK
Malariae,1401080976-0003-T.jpg,1401080976-0003-T.jpg,1401080976-0003-T_diag.png,True,True,True,OK
Malariae,1401080976-0004-T.jpg,1401080976-0004-T.jpg,1401080976-0004-T_diag.png,True,True,True,OK
Malariae,1401080976-0005-T.jpg,1401080976-0005-T.jpg,1401080976-0005-T_diag.png,True,True,True,OK
Malariae,1401080976-0006-T.jpg,1401080976-0006-T.jpg,1401080976-0006-T_diag.png,True,True,True,OK
Malariae,1401080976-0007-T.jpg,1401080976-0007-T.jpg,1401080976-0007-T_diag.png,True,True,True,OK
Malariae,1401080976-0008-T.jpg,1401080976-0008-T.jpg,1401080976-0008-T_diag.png,True,True,True,OK
Malariae,1401080976-0009-S_T.jpg,1401080976-0009-S_T.jpg,1401080976-0009-S_T_diag.png,True,True,True,OK
Ovale,1707180816-0001-G_R.jpg,1707180816-0001-G_R.jpg,1707180816-0001-G_R_diag.png,True,True,True,OK
Ovale,1707180816-0002-T.jpg,1707180816-0002-T.jpg,1707180816-0002-T_diag.png,True,True,True,OK
Ovale,1707180816-0003-T.jpg,1707180816-0003-T.jpg,1707180816-0003-T_diag.png,True,True,True,OK
Ovale,1707180816-0004-R.jpg,1707180816-0004-R.jpg,1707180816-0004-R_diag.png,True,True,True,OK
Ovale,1707180816-0005-T.jpg,1707180816-0005-T.jpg,1707180816-0005-T_diag.png,True,True,True,OK
Ovale,1707180816-0006-T.jpg,1707180816-0006-T.jpg,1707180816-0006-T_diag.png,True,True,True,OK
Ovale,1707180816-0007-T.jpg,1707180816-0007-T.jpg,1707180816-0007-T_diag.png,True,True,True,OK
Ovale,1707180816-0008-G.jpg,1707180816-0008-G.jpg,1707180816-0008-G_diag.png,True,True,True,OK
Ovale,1707180816-0009-T.jpg,1707180816-0009-T.jpg,1707180816-0009-T_diag.png,True,True,True,OK
Ovale,1707180816-0010-T.jpg,1707180816-0010-T.jpg,1707180816-0010-T_diag.png,True,True,True,OK
Ovale,1707180816-0011-R_T.jpg,1707180816-0011-R_T.jpg,1707180816-0011-R_T_diag.png,True,True,True,OK
Ovale,1707180816-0012-T_R.jpg,1707180816-0012-T_R.jpg,1707180816-0012-T_R_diag.png,True,True,True,OK
Ovale,1707180816-0013-T.jpg,1707180816-0013-T.jpg,1707180816-0013-T_diag.png,True,True,True,OK
Ovale,1707180816-0015-T.jpg,1707180816-0015-T.jpg,1707180816-0015-T_diag.png,True,True,True,OK
Ovale,1707180816-0016-R.jpg,1707180816-0016-R.jpg,1707180816-0016-R_diag.png,True,True,True,OK
Ovale,1707180816-0017-G.jpg,1707180816-0017-G.jpg,1707180816-0017-G_diag.png,True,True,True,OK
Ovale,1707180816-0018-G.jpg,1707180816-0018-G.jpg,1707180816-0018-G_diag.png,True,True,True,OK
Ovale,1707180816-0019-S.jpg,1707180816-0019-S.jpg,1707180816-0019-S_diag.png,True,True,True,OK
